Frame,Path,Line,Mem tot,Mem ant,Mem post,Cyt,Dosage,Ratio tot,Ratio post,Ratio ant,Genotype,Condition,Total
0,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_kk1273_tom4,15,60/00",kk1273,22441.40293352916,935.5897406969995,53675.97192240288,2442.4066849311207,4100.3723851872255,9.18823350426673,21.976672539248565,0.3830605879312783,WT,Pol,6347.210795365194
1,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_kk1273_tom4,15,60/01",kk1273,23631.817051477414,1216.0472144888624,51593.77383299293,2374.9225832505513,4173.193278498413,9.950563112306844,21.724402385519717,0.5120365703982069,WT,Pol,6486.858750207621
2,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_kk1273_tom4,15,60/02",kk1273,21291.179143023237,972.1893043710263,47114.6323006603,2274.740457828762,3865.1287798515773,9.35982787387782,20.71209141179613,0.42738471592446214,WT,Pol,5979.405628714805
3,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_kk1273_tom4,15,60/03",kk1273,22693.704007398886,1520.082110825297,48446.107925385084,2272.9676107171435,4085.79965187554,9.984173949684571,21.3140335554979,0.6687654076802687,WT,Pol,6221.67210800455
4,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_kk1273_tom4,15,60/04",kk1273,19838.07936661521,1066.7202287013554,49251.10104040522,2084.2369497166433,3530.9916078215433,9.51814973307725,23.630279199829474,0.5118037221470325,WT,Pol,5536.062759507689
5,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_kk1273_tom4,15,60/05",kk1273,23037.61028469154,1380.502583508965,52126.207925909985,2132.5161084110186,3914.6914163808306,10.803018178304562,24.443523648105188,0.6473585723756177,WT,Pol,6141.060297947346
6,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_kk1273_tom4,15,60/06",kk1273,20917.601444604235,2196.978983608679,48348.271927508926,2076.590584114178,3719.2961598983916,10.073050318451273,23.282524873882686,1.0579740659595909,WT,Pol,5716.253235475315
7,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg123_tom4,15,60/00",nwg123,17504.4318408974,16175.295320595022,20962.08464520735,1722.1373227814795,3088.2649986921465,10.164364716644911,12.172133062740206,9.392569980696882,WT,Uni,4767.908463097627
8,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg123_tom4,15,60/01",nwg123,21262.682750111002,18152.218731138368,27403.579242083753,1847.05935218842,3575.530351453197,11.511640232306936,14.8363284642779,9.827631532051951,WT,Uni,5546.766150707734
9,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg123_tom4,15,60/02",nwg123,20136.26739466478,18491.16385832941,24713.792372304037,1821.350048423893,3434.57478170288,11.055682246303899,13.56894156271066,10.152449208942981,WT,Uni,5325.060575095565
10,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg123_tom4,15,60/03",nwg123,18434.362353467757,17011.954899185832,21928.405864938857,1747.8034772703238,3215.696914905104,10.547159673957216,12.546265155156973,9.733333936235601,WT,Uni,4955.382526773713
11,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg123_tom4,15,60/04",nwg123,18743.87361240688,16950.309255450204,23265.566824028443,1638.3259032504282,3147.5090275543566,11.440869960744168,14.200817296405866,10.346115642694105,WT,Uni,4899.759911809225
12,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg123_tom4,15,60/05",nwg123,16449.094122559432,16873.598727181332,20156.004385913067,1274.8836797342137,2640.1799492756463,12.902427401054126,15.810073268892396,13.235402566843682,WT,Uni,4137.026057059555
13,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg123_tom4,15,60/06",nwg123,18241.66754775741,17602.727026752174,23818.73613955743,1565.923032367944,3051.6107563660717,11.649146969996911,15.2106684985273,11.241118920215277,WT,Uni,4739.9731856777325
14,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg123_tom4,15,60/07",nwg123,19291.40150030703,17268.07385459976,22904.05457076962,1730.3522871473003,3292.7867585894564,11.14882885040207,13.23664246922214,9.97951341057162,WT,Uni,5087.056148200723
15,"/Users/blandt/Desktop/Data/PAR2 GFP mutants 2/Experiment/220129_nwg123_tom4,15,60/08",nwg123,22251.53395838161,18909.03434236528,26429.66121651909,1898.8169059860622,3739.68705000831,11.71863063164919,13.919015115780251,9.95832419795407,WT,Uni,5770.583814744462
