,Frame,Position,Membrane signal,Cytoplasmic signal
0,0,0,22858.531486223415,5545.259893049967
1,0,1,23537.342949219645,5375.889358418129
2,0,2,23252.29092933518,5510.374016604758
3,0,3,22932.962036959496,5569.371134954992
4,0,4,21828.06045958076,5804.222362509373
5,0,5,22190.108306437487,5490.58782536028
6,0,6,21244.101655626175,5468.847420816361
7,0,7,22138.962077309636,5466.421907021828
8,0,8,22950.514653132373,5324.005677995623
9,0,9,21027.739441464037,5583.472066187501
10,0,10,22308.86964893884,5402.01787174431
11,0,11,19151.128945793054,5535.607550955437
12,0,12,17085.403879844962,5597.910964619818
13,0,13,17909.88565941539,5462.597561370302
14,0,14,18532.609157128023,5396.175653555438
15,0,15,17159.707731958555,5365.489880018073
16,0,16,13360.542871204962,5816.692777548963
17,0,17,13088.032332614617,5521.203464441932
18,0,18,11452.249848527925,5658.7603445468585
19,0,19,9325.608703525477,6098.2390082234215
20,0,20,9326.936615448294,5890.178387930426
21,0,21,7969.848088521679,5862.54816058751
22,0,22,7161.731426269906,6044.921118237728
23,0,23,6181.4446544129005,5937.924219588209
24,0,24,5570.7641205619175,5966.292119406727
25,0,25,7221.628475112428,5931.434516764965
26,0,26,5997.007465771429,6018.908731685637
27,0,27,7329.865571979749,5693.691617778541
28,0,28,6371.428227223123,5668.422080734677
29,0,29,6208.688770019762,5410.501416057721
30,0,30,6595.283917455517,5272.174301046559
31,0,31,5323.032631963266,5280.706319073621
32,0,32,5314.252182171524,5291.331115381218
33,0,33,5029.028764081292,5158.890148618693
34,0,34,4735.451356805415,5259.3674253782065
35,0,35,4047.93947010233,5177.200053831742
36,0,36,5955.780022273586,4837.69077650811
37,0,37,3110.968886908712,5267.184683069481
38,0,38,2970.2990785890024,5244.564862211201
39,0,39,3374.9039751124674,5079.311481572828
40,0,40,2630.2637899303472,5079.9453739836335
41,0,41,1750.1932844602875,5201.24826817867
42,0,42,2406.5836686931443,4821.50979838141
43,0,43,2584.556142422581,5023.320034945997
44,0,44,2316.882238723308,5058.213122888813
45,0,45,2451.479366958993,5006.873414934466
46,0,46,2052.822888453151,4986.363318772705
47,0,47,1189.3805807421836,5140.752202467618
48,0,48,2443.92354151471,4958.602783613296
49,0,49,1597.63521715706,5029.65021096954
50,0,50,2971.100389322004,5110.144674738702
51,0,51,2161.2060562449465,5154.790657052024
52,0,52,3152.4335893886214,5096.732041061208
53,0,53,2984.3151182852744,5223.610478822083
54,0,54,1549.434925112013,5162.630020862512
55,0,55,2835.2742714718856,5194.158140447538
56,0,56,1277.77846239397,5211.804282284665
57,0,57,1843.4086453770417,5128.0291774962425
58,0,58,2111.7636668244777,5227.886638800921
59,0,59,3315.526316060484,5204.5417943774855
60,0,60,2119.966185985645,5359.937346967081
61,0,61,2816.215272157865,5403.548654389851
62,0,62,2923.7077868680426,5181.473262154134
63,0,63,2983.0319234988638,5352.047104900887
64,0,64,3794.3121752769616,5378.875773145115
65,0,65,3865.725343767178,5107.484090525783
66,0,66,3698.392149292732,5012.016083266797
67,0,67,3998.697830307597,4980.481929509222
68,0,68,2247.9174653110617,5210.004834208214
69,0,69,1572.9575149462719,5261.416417898649
70,0,70,3124.6725976419752,5338.207721278448
71,0,71,2061.249858383371,5428.790101280976
72,0,72,2838.5876653219216,5314.315509793314
73,0,73,3426.1249850296945,5340.758389361337
74,0,74,3947.0889940494235,5348.136137132899
75,0,75,4620.738481132441,5398.24811968004
76,0,76,4344.57393930949,5665.887976455627
77,0,77,4559.852157540517,5718.249406045207
78,0,78,7547.781637052184,5470.094922467658
79,0,79,5735.730069133732,5812.467338532393
80,0,80,5664.630654373921,6023.166150149323
81,0,81,8280.52235657441,5511.508951189135
82,0,82,7775.29219981663,5828.110068351056
83,0,83,9069.728034104082,5831.839275578079
84,0,84,11721.284930436248,5579.2685100885055
85,0,85,12340.499843685351,5767.607600958664
86,0,86,14284.472525928133,5626.143162676334
87,0,87,14949.482861995411,5730.950658209596
88,0,88,16936.9623118237,5587.263637033276
89,0,89,17488.755284705425,5618.59866606799
90,0,90,16461.70331969871,5832.302799899256
91,0,91,17136.856719282565,5764.946880561489
92,0,92,17656.903379198004,5733.839469515514
93,0,93,15766.67672404641,6166.590972242789
94,0,94,19367.485275931675,5541.893249148853
95,0,95,17517.61656621553,5902.637092782498
96,0,96,21147.82519062218,5431.385004146876
97,0,97,20767.42246858518,5645.139101178279
98,0,98,21786.347978694168,5701.067119746144
99,0,99,21803.103461178023,5668.624614130355
0,1,0,28873.842256955708,6268.288118760241
1,1,1,32260.10673628811,6005.835286368636
2,1,2,33816.93361287569,5463.845477467347
3,1,3,30396.697536324064,5902.639668209282
4,1,4,27680.916785982998,6072.849557684983
5,1,5,26268.124181901145,5952.01877051028
6,1,6,24075.456067967418,6204.987679256041
7,1,7,23381.47307039574,5965.844253878477
8,1,8,22502.794130212,6003.6136657391935
9,1,9,20655.710429973944,5998.927916922718
10,1,10,19618.692732985313,6183.990816706342
11,1,11,18283.094023260946,6168.794796310879
12,1,12,16666.89351600352,6258.691611915461
13,1,13,17117.789879794083,6047.324918122696
14,1,14,15271.855249321217,6170.0273999341525
15,1,15,13349.78979556584,5888.056978388346
16,1,16,10510.59075681184,6305.772735742042
17,1,17,8206.841979436816,6566.486105064719
18,1,18,5078.744536224049,6810.851480102605
19,1,19,6852.918962674032,6312.401162634977
20,1,20,6454.790515838734,6015.602293085852
21,1,21,5306.298612836717,6036.617991056676
22,1,22,5969.484100907538,5858.607583151227
23,1,23,5094.083675932743,5948.669084254505
24,1,24,3714.315134979857,5855.943111404141
25,1,25,3322.2931181172794,5964.074407207405
26,1,26,4722.982658967796,5637.7057202521055
27,1,27,4103.562267926177,5575.375788355119
28,1,28,3751.517912247785,5436.587266299195
29,1,29,3428.0158790853397,5500.266827189325
30,1,30,3382.1670110118666,5551.432944451671
31,1,31,2097.43847908126,5683.888251029545
32,1,32,2238.5577696172695,5532.1434914210495
33,1,33,2983.801929358294,5297.779515894404
34,1,34,3557.2500203836403,5133.355946254815
35,1,35,2555.245605193891,5275.837967993648
36,1,36,2137.871106817613,5342.584677898543
37,1,37,2675.503930864309,5268.783244830951
