Frame,Path,Line,Condition,Cyt,Mem_tot,Mem_ant,Mem_post,ASI,Dosage,Total
0,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par2_tom4,15,60,eb,beads/01",nwg313,par2,620.2261048700963,3254.618540555084,2936.681763232245,3580.9287773944397,0.09884711738241554,830.0047943910536,1186.5297309266807
1,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par2_tom4,15,60,eb,beads/02",nwg313,par2,635.7683078086849,3558.1458743899916,3355.0269733099194,3756.37946185574,0.056437849840946554,865.8746523274384,1254.8856899525435
2,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par2_tom4,15,60,eb,beads/03",nwg313,par2,590.5462319361084,3203.177751017402,3479.3922971649877,2918.4126049064953,-0.0876831508376972,806.5837590313919,1147.8991606131362
3,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par2_tom4,15,60,eb,beads/04",nwg313,par2,595.847903386377,3337.7884420441283,3252.7108514884007,3404.619467326498,0.022818248241156722,820.15959322623,1176.6230923020553
4,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par2_tom4,15,60,eb,beads/05",nwg313,par2,686.9038925305799,4038.392570067536,3641.7290956723914,4412.309070735235,0.09567622590576177,965.0193464078951,1389.584199722331
5,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par2_tom4,15,60,eb,beads/06",nwg313,par2,597.8054273238652,4379.82287906054,3892.697614729062,4868.006262446791,0.11132765830137095,928.3283478966354,1359.894608280399
6,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par2_tom4,15,60,eb,beads/07",nwg313,par2,568.5830412935543,3907.7898644298175,3511.8397396422165,4281.81630094442,0.09879529675064365,850.0872483840284,1248.5384777043425
7,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par6_tom4,15,60,eb,beads/05",nwg313,par6,441.0197223711459,2786.719352703094,2436.677516085911,3136.211112495988,0.12552441705408407,646.3415308418165,925.9088897414842
8,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par6_tom4,15,60,eb,beads/06",nwg313,par6,645.4994860865696,3465.8032786099707,3041.8266843571023,3873.067434962386,0.12021019212468985,879.7081186117261,1248.5492565647046
9,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par6_tom4,15,60,eb,beads/07",nwg313,par6,483.0015174869835,3177.7066472360657,2708.7005622456218,3617.384321271558,0.14364077873718406,710.3554821971912,1035.9224741060589
10,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par6_tom4,15,60,eb,beads/08",nwg313,par6,476.5444098384371,3155.36841010541,2526.695778548194,3760.27309113728,0.1962117736159237,705.7024699166672,1025.5785131967784
11,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_par6_tom4,15,60,eb,beads/09",nwg313,par6,473.56610804940533,2357.9255584982466,2124.178218591292,2607.0366222324,0.10205801678560926,629.3130439797886,883.8451552281002
12,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_wt_tom4,15,60,eb,20beads/00",nwg313,wt,429.4792112302603,2364.268489036562,1632.6278132051991,3103.253093639695,0.31052834928956136,584.348488199339,840.8619283226221
13,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_wt_tom4,15,60,eb,20beads/01",nwg313,wt,417.244860704593,2565.0479436911496,1862.8554072300449,3283.43333916761,0.2760392978205807,601.5014462949886,863.563202906853
14,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_wt_tom4,15,60,eb,20beads/02 bright polar body",nwg313,wt,475.207287058433,3126.467823658319,2199.0089646232723,4057.350555723471,0.2970324171839161,704.2225476260066,1019.2126883749804
15,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_wt_tom4,15,60,eb,20beads/03",nwg313,wt,528.8835089675848,2447.95023053918,1568.9268249709055,3327.597189487448,0.3591671069770265,674.9644306690132,954.8268490814021
16,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/201111_nwg313_wt_tom4,15,60,eb,20beads/04",nwg313,wt,474.3113576926257,2300.3990430143836,1622.6165119455634,2976.992512838566,0.2944545924654035,607.6124667312575,874.5807911771284
17,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/210701_nwg373_wt_tom4,15,60/00",nwg373,wt,569.2169644281889,2323.105629584599,2161.6197614048983,2470.803505629654,0.06674341406256681,727.8055813755644,973.437343975909
18,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/210701_nwg373_wt_tom4,15,60/01",nwg373,wt,522.2927609467805,1672.201744028742,1317.907935723885,2032.7572745106584,0.21334549826204052,607.1081752678439,813.2558644077816
19,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/210816_nwg373_wt_tom4,15,60/00",nwg373,wt,569.0501293644625,1942.3925121280272,1336.9597177478697,2536.735847573931,0.30972390824068075,671.0833269887911,907.0264264747392
20,"/Users/blandt/Desktop/Data/PH RING/Experiment 1 mos/Experiment/210816_nwg373_wt_tom4,15,60/01",nwg373,wt,485.443814073027,2669.457915959385,2363.112899546318,2970.7491120519326,0.11392049722777528,685.4561736323737,949.92949144996
