Frame,Path,Condition,Mem tot,Mem ant,Mem post,Cyt,Dosage,Ratio tot,Ratio post
0,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/00",kk1273,20432.091266265266,388.27638374597007,47347.9172004581,2154.835950513076,3783.2855428948237,9.481970662964061,21.97286396172495
1,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/01",kk1273,20049.35161385815,468.97942202054645,45692.43735259172,1900.5406871872162,3545.219133520044,10.549288288866373,24.04180960746288
2,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/02",kk1273,20166.489883963644,623.4783322195402,46588.55977646443,1939.2037551845215,3555.2916228464746,10.399366147083775,24.024582074941055
3,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/03",kk1273,21656.956397891638,1590.8669091315492,46061.39595858868,1858.5266990916562,3688.947254625007,11.652755060487614,24.783822573601395
4,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/04",kk1273,20040.266980569824,802.3171125451947,45062.22880581844,1803.9794615037974,3484.774770142901,11.108921918581188,24.979346920199724
5,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/06",kk1273,21286.791514352,194.4022500217166,49328.10366301905,1795.0090461974833,3574.6064255560646,11.858877012038228,27.48069920177554
6,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/07",kk1273,19651.683973977895,504.47878085381836,42912.63893453471,1829.8886599885593,3467.9600148975605,10.739278516596064,23.450956264630335
7,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/08",kk1273,20123.49888927046,416.3562745889341,47551.6571450935,2056.0434189560406,3723.5378913921036,9.787487318477059,23.127749495308777
8,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/09",kk1273,20616.79989109027,1891.0865440624123,46199.0559104144,1963.1804107104547,3642.7410428004114,10.501734725250882,23.532761257380027
9,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/10",kk1273,23616.881832387404,1833.4721240323163,49017.132340050055,1990.8352447853288,3997.882653186837,11.862800748704851,24.621390679335477
10,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/11",kk1273,21093.694220234556,633.9355079721543,45511.46257523552,1865.5660287838919,3652.2071527474945,11.306860167251717,24.395524936152015
11,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_kk1273_tom4,15,60/12",kk1273,21348.280684764824,717.9602885506181,47144.455886643394,1927.373778205242,3684.4573202876422,11.07635733461322,24.460463465754945
12,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_lp637_tom4,15,60/00",lp637,30584.800896764733,520.2387632212385,68323.86113242286,3245.746591505691,5708.957526437825,9.423040288113357,21.050275862949498
13,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_lp637_tom4,15,60/01",lp637,28451.815980199175,-169.3866581168878,59823.38151840106,3486.5098857081757,5683.08204095944,8.160543613207073,17.158529153646672
14,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_lp637_tom4,15,60/03",lp637,29758.117853876654,431.414867839218,67132.6936551687,3183.8751082437225,5554.578908440504,9.346509156978748,21.085215774120044
15,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg214(unbalanced)_tom4,15,60/00",nwg214(unbalanced),5074.348969523551,-1100.9226478714477,14739.063128235486,3328.5568138776307,3358.8434477516803,1.5244892165779633,4.428064158852403
16,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg214(unbalanced)_tom4,15,60/01",nwg214(unbalanced),4644.101770646533,1203.0993657973293,11657.115541422341,3328.355340089116,3350.7928771457537,1.3953142907278007,3.5023650873497854
17,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg214(unbalanced)_tom4,15,60/02",nwg214(unbalanced),5241.8451739217735,-1732.0867130835363,14486.12021484458,3147.875193170761,3252.4759831170327,1.6652010808096298,4.601872477750028
18,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg214(unbalanced)_tom4,15,60/03",nwg214(unbalanced),4634.875297210251,-1770.8422836255263,12818.796346627936,3489.993384391354,3538.377631119504,1.328047015200449,3.6730145117061594
19,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg214(unbalanced)_tom4,15,60/04",nwg214(unbalanced),4544.728204955416,404.08511733867357,10322.498350358339,3321.0651988802897,3356.714840403324,1.3684549783869613,3.108189009309004
20,"/Users/blandt/Desktop/Data/PAR2 GFP linchpin/Experiment/200930_nwg214(unbalanced)_tom4,15,60/05",nwg214(unbalanced),4473.640515207233,-1623.9950732333098,13044.876213665428,3324.2794034885446,3445.9784308760372,1.3457474454501426,3.92412148027508
