,ID,Line,Condition,Path,Cyt,Mem_tot,Mem_ant,Mem_post,Dosage_af,Dosage_sub,Genotype
0,0,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/00",382.99466977030045,365.8673353558102,352.35190755803626,462.86020714890975,431.4177927342099,266.59057067003596,"Wild type, par-3 -/-"
1,1,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/01",1058.8700638576088,1774.3822164898218,1534.4435596571682,2463.5349417348475,1369.2251693737444,1885.1703686613573,"Wild type, par-3 -/-"
2,2,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/02",453.8333632529412,294.9042029861136,210.6634498412969,395.0798213183808,477.0186920246186,617.004962490405,"Wild type, par-3 -/-"
3,3,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/03",490.10874599090283,245.9092465833227,202.16788060194722,326.8613316029758,472.35770717265643,27.534898421667094,"Wild type, par-3 -/-"
4,4,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/04",568.8114678188554,454.15869265609655,287.195538265696,616.4245891415054,608.1732896099492,643.5904861640665,"Wild type, par-3 -/-"
5,5,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/05",639.8894520942916,611.8719274235496,406.06936697709745,857.1746784843641,714.3770766934259,874.4642042718442,"Wild type, par-3 -/-"
6,6,nwg201,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_wt_tom4,15,60/00",3607.917505474173,11560.966742049788,11334.170574069189,13046.65822539605,6170.155704656297,8334.820900508686,"Wild type, par-3 -/-"
7,7,nwg201,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_wt_tom4,15,60/01",3501.206610249253,11464.444283584047,10164.094852521406,14680.442501526442,5977.5057269533645,7857.182343120323,"Wild type, par-3 -/-"
8,8,nwg201,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_wt_tom4,15,60/02",3028.124441415657,10423.69954050418,8517.62938747085,14506.45374353264,5387.2626068961135,6722.919016984633,"Wild type, par-3 -/-"
9,9,nwg201,wt,"/Users/blandt/Desktop/Data/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_wt_tom4,15,60/03",3014.8439914458995,10228.086829046579,9007.559981020242,13123.607282059253,5349.921009223119,6759.546658935864,"Wild type, par-3 -/-"
