,ID,Line,Condition,Path,Cyt,Mem_post,Dosage_af,Dosage_sub,Genotype
0,0,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/00",443.4605084374418,353.95626735890465,431.4177927342099,266.59057067003596,"Wild type, par-3 -/-"
1,1,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/01",1134.9545028829984,2279.064665791203,1369.2251693737444,1885.1703686613573,"Wild type, par-3 -/-"
2,2,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/02",508.5685915120047,378.1732175133265,477.0186920246186,617.004962490405,"Wild type, par-3 -/-"
3,3,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/03",598.1182006746568,226.93265587023637,472.35770717265643,27.534898421667094,"Wild type, par-3 -/-"
4,4,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/04",574.1907388641814,522.3175221603288,608.1732896099492,643.5904861640665,"Wild type, par-3 -/-"
5,5,nwg201,11121830par2rnai,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_11121830par2rnai_tom4,15,60/05",681.1136929572955,737.7883120182164,714.3770766934259,874.4642042718442,"Wild type, par-3 -/-"
6,6,nwg201,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_wt_tom4,15,60/00",3926.998091564441,12362.022813307496,6170.155704656297,8334.820900508686,"Wild type, par-3 -/-"
7,7,nwg201,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_wt_tom4,15,60/01",3543.3022503741095,14032.260939065081,5977.5057269533645,7857.182343120323,"Wild type, par-3 -/-"
8,8,nwg201,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_wt_tom4,15,60/02",2923.927780038817,14272.848483094513,5387.2626068961135,6722.919016984633,"Wild type, par-3 -/-"
9,9,nwg201,wt,"/Users/blandt/Desktop/Rundowns/PAR-2 RUNDOWN/Experiment/211113_nwg201_wt_tom4,15,60/03",3067.2568327838517,12678.552430462529,5349.921009223119,6759.546658935864,"Wild type, par-3 -/-"
