Frame,Path,Condition,Membrane,Cytoplasm,Ratio,Dosage
0,"/Users/blandt/Desktop/Data/PAR2 GCN4/c56s/210428_nwg240_tom4,16,50/05",c56s,8999.910101255964,6080.3400997599765,1.480165575213669,6305.077285337276
1,"/Users/blandt/Desktop/Data/PAR2 GCN4/c56s/210428_nwg240_tom4,16,50/06",c56s,5814.268142622617,5601.16164506205,1.038046839399545,5570.462837636284
2,"/Users/blandt/Desktop/Data/PAR2 GCN4/c56s/210428_nwg240_tom4,16,50/07",c56s,7668.131727435362,6826.454210648475,1.1232964421667062,6654.344695777264
3,"/Users/blandt/Desktop/Data/PAR2 GCN4/c56s/210428_nwg240_tom4,16,50/08",c56s,6095.72591883591,5286.800233772415,1.1530085589192547,5441.317963447896
4,"/Users/blandt/Desktop/Data/PAR2 GCN4/c56s/210428_nwg240_tom4,16,50/09",c56s,8083.041458523226,5645.020958053038,1.4318886534853643,5772.437567405908
5,"/Users/blandt/Desktop/Data/PAR2 GCN4/c56s_gcn4/210816_nwg381_tom4,15,60/02",c56s_gcn4,5228.0916288610315,3470.288170397572,1.5065295364972753,4017.7992488450277
6,"/Users/blandt/Desktop/Data/PAR2 GCN4/c56s_gcn4/210816_nwg381_tom4,15,60/03",c56s_gcn4,3998.836636274503,3601.741817731424,1.11025077272007,3962.1711528651103
7,"/Users/blandt/Desktop/Data/PAR2 GCN4/c56s_gcn4/210816_nwg381_tom4,15,60/04",c56s_gcn4,4177.618742996603,3006.4974659025083,1.3895301061704173,3431.4483615853655
8,"/Users/blandt/Desktop/Data/PAR2 GCN4/l109r/210428_nwg338_tom4,15,60/00",l109r,12798.869179663141,5695.302282710227,2.247267755834118,6305.788921700219
9,"/Users/blandt/Desktop/Data/PAR2 GCN4/l109r/210428_nwg338_tom4,15,60/01",l109r,11993.400460191258,5287.164313331579,2.2683994196945823,5771.780308449549
10,"/Users/blandt/Desktop/Data/PAR2 GCN4/l109r/210428_nwg338_tom4,15,60/02",l109r,13033.29571660645,6095.012864411848,2.1383540948217714,6659.955908879243
11,"/Users/blandt/Desktop/Data/PAR2 GCN4/l109r/210428_nwg338_tom4,15,60/03",l109r,13542.734490289815,5982.605545562955,2.263685009340769,6693.559741293605
12,"/Users/blandt/Desktop/Data/PAR2 GCN4/l109r/210428_nwg338_tom4,15,60/04",l109r,13897.78595953086,5241.129604822539,2.6516775976581544,6025.302291143304
13,"/Users/blandt/Desktop/Data/PAR2 GCN4/l109r/210428_nwg338_tom4,15,60/05",l109r,11172.788543719995,6109.760844103725,1.8286785405851667,6619.015709549136
14,"/Users/blandt/Desktop/Data/PAR2 GCN4/l109r_gcn4/210903_nwg398_tom4,15,60/line11_00",l109r_gcn4,10420.064848219296,5029.6885600601845,2.0717117419482154,6144.514749254106
15,"/Users/blandt/Desktop/Data/PAR2 GCN4/l109r_gcn4/210903_nwg398_tom4,15,60/line11_01",l109r_gcn4,6889.9484863939315,3961.599877182062,1.739183335015358,5133.874597389748
16,"/Users/blandt/Desktop/Data/PAR2 GCN4/l109r_gcn4/210903_nwg398_tom4,15,60/line11_02",l109r_gcn4,8023.625334826672,5078.866800468499,1.5798062146631873,5909.518484065233
